player;apps;mins;goals;assist;yellow_card;red_card;spg;aerialswon;motm;ps%;age
Takehiro Tomiyasu;20;1682;0;1;2;0;0,5;2,2;1;81,1;23
José Sá;37;3286;0;1;3;0;0;0,4;5;63;29
Mohammed Salisu;33;2972;0;0;8;1;0,7;3;3;77,9;23
Joelinton;30;2559;4;1;8;0;1,3;2,8;3;77,6;26
Lucas Moura;19;1774;2;6;4;0;1,1;1,4;3;76,7;30
César Azpilicueta;24;2075;1;2;3;0;0,4;1,7;0;85,7;33
Charlie Taylor;30;2731;0;3;3;0;0,2;1,9;1;71,1;29
Nélson Semedo;25;2137;0;1;1;0;0,8;0,6;0;77,4;28
Nick Pope;36;3240;0;0;1;0;0;0,5;5;44,5;30
Romelu Lukaku;16;1586;8;0;1;0;1,7;2;2;72,9;29
Jan Bednarek;30;2633;4;0;10;0;0,6;2,9;2;81,7;26
Pablo Fornals;32;2804;6;3;4;0;1,2;0,6;2;78,1;26
David Raya;24;2160;0;0;1;0;0;0,4;0;64,5;27
Joël Veltman;33;2881;1;1;6;0;0,4;1,7;2;79,7;30
Naby Ke?ta;14;1175;3;1;3;0;1,1;0,3;0;86;27
Pascal Groß;24;2043;2;4;1;0;0,8;0,5;1;82,8;31
Harvey Barnes;24;2107;6;10;2;0;2,1;0,8;0;76,4;24
Hugo Lloris;38;3420;0;0;2;0;0;0,4;0;76,8;35
Jo?o Pedro;15;1639;3;1;1;0;1,7;2;0;69,9;21
Stuart Dallas;34;2929;1;1;5;0;0,9;0,9;3;78,8;31
Raphaël Varane;20;1829;1;1;0;0;0,4;2,5;1;87,8;29
Demarai Gray;28;2352;5;4;3;0;1,9;0,1;0;81,5;26
Ben Davies;28;2540;1;1;6;0;0,6;2,3;0;85;29
